"date_of_revenue","daily_revenue"
"2007-02-14","70.83"
"2007-02-15","589.53"
"2007-02-16","542.66"
"2007-02-17","660.43"
"2007-02-18","613.62"
"2007-02-19","631.51"
"2007-02-20","612.54"
"2007-02-21","469.88"
"2007-03-01","1346.79"
"2007-03-02","1312.84"
"2007-03-16","186.58"
"2007-03-17","1241.12"
"2007-03-18","1305.96"
"2007-03-19","1403.71"
"2007-03-20","1438.80"
"2007-03-21","1541.42"
"2007-03-22","1248.09"
"2007-03-23","1084.42"
"2007-04-05","136.66"
"2007-04-06","1044.57"
"2007-04-07","974.65"
"2007-04-08","1161.40"
"2007-04-09","1066.40"
"2007-04-10","935.70"
"2007-04-11","992.65"
"2007-04-12","1018.70"
"2007-04-26","136.67"
"2007-04-27","1302.83"
"2007-04-28","1384.80"
"2007-04-29","1388.81"
"2007-04-30","2935.26"
"2007-05-14","280.09"
